City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tiksi,71.6872,128.8694,-21.35,99,100,2.52,RU,1709683754
1,margaret river,-33.95,115.0667,14.89,76,5,5.69,AU,1709683774
2,ushuaia,-54.8,-68.3,9.44,95,94,2.43,AR,1709683752
3,chonchi,-42.6128,-73.8092,14.56,89,60,1.86,CL,1709683774
4,shawinigan,46.5668,-72.7491,7.9,96,100,0.55,CA,1709684131
5,puerto natales,-51.7236,-72.4875,9.7,96,100,1.7,CL,1709683759
6,port mathurin,-19.6833,63.4167,25.99,73,63,8.43,MU,1709683793
7,constantia,44.1833,28.65,4.38,89,88,4.42,RO,1709683771
8,limassol,34.675,33.0333,17.04,72,20,5.66,CY,1709684340
9,horta,38.5333,-28.6333,13.34,73,89,6.71,PT,1709684083
10,port elizabeth,-33.918,25.5701,18.16,73,0,10.8,ZA,1709683751
11,waitangi,-43.9535,-176.5597,15.46,86,56,1.79,NZ,1709683764
12,edinburgh of the seven seas,-37.0676,-12.3116,18.07,79,61,3.4,SH,1709683763
13,picos,-7.0769,-41.4669,26.1,76,100,0.77,BR,1709684341
14,carutapera,-1.195,-46.02,25.49,89,86,2.27,BR,1709683936
15,pascagoula,30.3658,-88.5561,19.03,91,0,2.57,US,1709684341
16,invercargill,-46.4,168.35,15.01,74,98,4.02,NZ,1709683756
17,hithadhoo,-0.6,73.0833,28.07,78,100,4.64,MV,1709683806
18,avarua,-21.2078,-159.775,29.03,70,20,5.66,CK,1709683804
19,port-aux-francais,-49.35,70.2167,5.58,72,93,14.11,TF,1709683757
20,iqaluit,63.7506,-68.5145,-34.82,88,6,2.86,CA,1709683760
21,mao,39.8885,4.2658,9.31,87,0,1.54,ES,1709684342
22,biltine,14.5333,20.9167,27.99,9,37,6.97,TD,1709684031
23,grytviken,-54.2811,-36.5092,1.78,77,63,2.42,GS,1709683573
24,port augusta,-32.5,137.7667,32.44,14,83,2.1,AU,1709684007
25,coquimbo,-29.9533,-71.3436,17.07,87,53,6.95,CL,1709684037
26,rajaori,33.3833,74.3,7.78,44,74,2.66,IN,1709684345
27,mikhaylovskoye,51.8239,79.7172,-11.45,90,71,4.79,RU,1709684345
28,isafjordur,66.0755,-23.124,1.88,79,100,2.91,IS,1709683764
29,zuru,11.4241,5.2288,30.97,18,60,2.85,NG,1709684238
30,gadzhiyevo,69.2551,33.3362,-2.05,87,100,2.62,RU,1709684001
31,tamanrasset,22.785,5.5228,11.95,10,0,1.54,DZ,1709684346
32,blackmans bay,-43.0167,147.3167,22.51,51,0,0.89,AU,1709683764
33,alice springs,-23.7,133.8833,30.75,42,75,4.63,AU,1709683959
34,papatowai,-46.5619,169.4708,15.47,58,96,4.16,NZ,1709683758
35,west island,-12.1568,96.8225,27.99,83,100,3.6,CC,1709683779
36,bubaque,11.2833,-15.8333,25.5,70,7,7.26,GW,1709683959
37,vilyuchinsk,52.9306,158.4028,-4.3,73,72,3.94,RU,1709683753
38,yelizovo,53.1873,158.3805,-4.38,51,20,3.0,RU,1709683809
39,vorgashor,67.5833,63.95,-29.25,100,92,1.36,RU,1709683818
40,ancud,-41.8697,-73.8203,12.75,85,54,3.97,CL,1709683810
41,adamstown,-25.066,-130.1015,24.51,66,15,3.48,PN,1709683754
42,kodiak,57.79,-152.4072,1.73,93,100,3.09,US,1709683778
43,sabang,5.8933,95.3214,27.75,76,100,1.91,ID,1709683792
44,punta arenas,-53.15,-70.9167,10.06,87,100,2.11,CL,1709683824
45,amga,60.8953,131.9608,-24.65,100,100,0.22,RU,1709683963
46,island harbour,50.724,-1.2758,6.07,94,62,0.45,GB,1709684350
47,prokop'yevsk,53.9059,86.719,-4.57,62,100,4.99,RU,1709684351
48,pechora,65.1472,57.2244,-22.3,100,100,1.34,RU,1709684036
49,ambodifotatra,-16.9833,49.85,25.87,90,83,1.63,MG,1709684351
50,tura,25.5198,90.2201,14.41,41,1,1.18,IN,1709683752
51,kudahuvadhoo,2.6708,72.8944,27.24,70,99,2.74,MV,1709683769
52,puerto deseado,-47.7503,-65.8938,12.95,81,100,14.79,AR,1709683798
53,nieuw amsterdam,5.8833,-55.0833,27.01,78,40,2.06,SR,1709684352
54,puerto ayora,-0.7393,-90.3518,26.42,92,27,4.92,EC,1709683763
55,newman,37.3138,-121.0208,17.25,63,100,2.24,US,1709684126
56,harstad,68.799,16.5293,-0.42,74,63,1.22,NO,1709684353
57,saldanha,-33.0117,17.9442,16.54,78,0,4.07,ZA,1709684079
58,huarmey,-10.0681,-78.1522,24.43,77,77,3.27,PE,1709683909
59,samoylovka,51.184,43.7081,-7.77,95,100,2.09,RU,1709684353
60,cabo san lucas,22.8909,-109.9124,25.9,67,0,2.06,MX,1709684238
61,minas de marcona,-15.2119,-75.1103,19.65,78,99,4.92,PE,1709683903
62,palikir - national government center,6.9248,158.1611,29.47,74,100,6.17,FM,1709683938
63,fuglafjordur,62.244,-6.814,7.26,90,100,8.79,FO,1709684354
64,albany,42.6001,-73.9662,7.58,94,100,0.2,US,1709683722
65,bonner,48.8333,-117.0013,-0.94,78,71,2.13,US,1709684355
66,la libertad,-2.2333,-80.9,27.81,83,75,3.09,EC,1709684355
67,saint-francois,46.4154,3.9054,3.69,88,75,1.03,FR,1709683905
68,cabinda,-5.55,12.2,26.98,90,72,1.73,AO,1709684356
69,nuuk,64.1835,-51.7216,-7.66,73,100,4.12,GL,1709684188
70,nemuro,43.3236,145.575,-3.2,72,38,2.66,JP,1709683655
71,bethel,41.3712,-73.414,8.27,88,100,1.54,US,1709683761
